BCBS_Name,Acronym
Blue Cross Blue Shield of Michigan,KOR
Unassigned,KOS
BCBS of Western New York,KOT
Blue Cross Blue Shield of Michigan,KOU
Blue Cross of California,KOV
Blue Cross of California,KOW
Blue Cross of Idaho,KOX
Independence Blue Cross,KOY
Blue Cross Blue Shield of Michigan,KOZ
Anthem BCBS of Ohio,KPA
Blue Cross Blue Shield of Massachusetts,KPB
Blue Cross of California,KPC
Anthem BCBS of Virginia,KPD
Anthem BCBS of Georgia,KPE
Regence Blue Cross Blue Shield of Oregon,KPF
Anthem BCBS of Ohio,KPG
Horizon Blue Cross Blue Shield of New Jersey,KPH
Blue Shield of California,KPI
Blue Cross Blue Shield of Illinois,KPJ
Blue Cross Blue Shield of Texas,KPK
Blue Cross Blue Shield of Nebraska,KPL
Blue Cross Blue Shield of South Carolina,KPM
Wellmark BCBS,KPN
Blue Shield of California,KPO
Anthem BCBS of Virginia,KPP
Blue Cross Blue Shield of Illinois,KPQ
Capital Blue Cross,KPR
Anthem BCBS of Kentucky,KPS
Blue Cross Blue Shield of Minnesota,KPT
Horizon Blue Cross Blue Shield of New Jersey,KPU
Blue Cross Blue Shield of Illinois,KPV
Anthem BCBS of Wisconsin,KPW
Anthem BCBS of Wisconsin,KPX
Independence Blue Cross,KPY
Unassigned,KPZ
Wellmark BCBS,KQA
Unassigned,KQB
Blue Shield of California,KQC
Horizon Blue Cross Blue Shield of New Jersey,KQD
Blue Cross Blue Shield of Minnesota,KQE
Blue Cross Blue Shield of Massachusetts,KQF
Blue Cross Blue Shield of Alabama,KQG
Wellmark BCBS,KQH
Blue Cross Blue Shield of Rhode Island,KQI
Blue Cross Blue Shield of North Carolina,KQJ
Premera Blue Cross,KQK
Horizon Blue Cross Blue Shield of New Jersey,KQL
Horizon Blue Cross Blue Shield of New Jersey,KQM
Blue Cross Blue Shield of Texas,KQN
Blue Cross Blue Shield of Michigan,KQO
Anthem BCBS of Wisconsin,KQP
BCBS of Western New York,KQQ
Anthem BCBS of Wisconsin,KQR
Horizon Blue Cross Blue Shield of New Jersey,KQS
Regence Blue Cross Blue Shield of Oregon,KQT
Premera Blue Cross,KQU
Regence Blue Cross Blue Shield of Oregon,KQV
Blue Cross Blue Shield of Michigan,KQW
Blue Shield of California,KQX
Unassigned,KQY
Unassigned,KQZ
Blue Cross of California,KRA
Empire Blue Cross Blue Shield,KRB
Wellmark BCBS,KRC
Wellmark BCBS,KRD
Anthem BCBS of Ohio,KRE
Unassigned,KRF
Unassigned,KRG
Wellmark BCBS,KRH
Blue Cross Blue Shield of Rhode Island,KRI
Wellmark BCBS,KRJ
Unassigned,KRK
Wellmark BCBS,KRL
Blue Cross Blue Shield of Rhode Island,KRM
Anthem BCBS of Missouri,KRN
Anthem BCBS of Colorado,KRO
Blue Cross Blue Shield of Illinois,KRP
Unassigned,KRQ
Blue Cross Blue Shield of Illinois,KRR
Unassigned,KRS
Unassigned,KRT
Anthem BCBS of Ohio,KRU
Unassigned,KRV
Anthem BCBS of Ohio,KRW
Anthem BCBS of Wisconsin,KRX
Unassigned,KRY
Blue Cross of California,KRZ
Blue Cross Blue Shield of Kansas,KSA
Regence Blue Shield of Washington,KSB
Blue Cross Blue Shield of Michigan,KSC
Independence Blue Cross,KSD
Blue Cross Blue Shield of Kansas,KSE
Blue Cross of California,KSF
Anthem BCBS of Ohio,KSG
Empire Blue Cross Blue Shield,KSH
Blue Cross Blue Shield of Tennessee,KSI
Blue Cross Blue Shield of South Carolina,KSJ
Blue Cross Blue Shield of Texas,KSK
Blue Cross Blue Shield of Massachusetts,KSL
Blue Cross Blue Shield of Massachusetts,KSM
Empire Blue Cross Blue Shield,KSN
Blue Cross Blue Shield of Massachusetts,KSO
Blue Cross Blue Shield of Michigan,KSP
Blue Cross Blue Shield of Texas,KSQ
CareFirst BCBS,KSR
Blue Cross Blue Shield of Texas,KSS
Blue Cross Blue Shield of Arizona,KST
Anthem BCBS of Ohio,KSU
Blue Cross of California,KSV
Blue Cross Blue Shield of Tennessee,KSW
Anthem BCBS of Georgia,KSX
Blue Cross of California,KSY
Blue Cross Blue Shield of Tennessee,KSZ
Blue Cross of California,KTA
Wellmark BCBS,KTB
Highmark BCBS of Pennsylvania,KTC
BCBS of Western New York,KTD
BCBS of Western New York,KTE
Blue Shield of California,KTF
Anthem BCBS of Wisconsin,KTG
Blue Cross Blue Shield of Illinois,KTH
Blue Shield of California,KTI
Blue Cross Blue Shield of Illinois,KTJ
Blue Cross Blue Shield of Nebraska,KTK
Wellmark BCBS,KTL
CareFirst BCBS,KTM
Premera Blue Cross,KTN
Blue Cross Blue Shield of Arizona,KTO
Blue Shield of California,KTP
Premera Blue Cross,KTQ
Anthem BCBS of Virginia,KTR
Anthem BCBS of Ohio,KTS
Anthem BCBS of Georgia,KTT
Blue Cross Blue Shield of Illinois,KTU
Blue Cross Blue Shield of Illinois,KTV
Anthem BCBS of Georgia,KTW
Anthem BCBS of Georgia,KTX
Blue Cross Blue Shield of Vermont,KTY
Blue Cross Blue Shield of Texas,KTZ
CareFirst BCBS,KUA
Blue Cross Blue Shield of Tennessee,KUB
Blue Cross Blue Shield of Illinois,KUC
Unassigned,KUD
Blue Shield of California,KUE
Wellmark BCBS,KUF
Horizon Blue Cross Blue Shield of New Jersey,KUG
Anthem BCBS of Virginia,KUH
Blue Cross Blue Shield of Michigan,KUI
Anthem BCBS of Ohio,KUJ
Horizon Blue Cross Blue Shield of New Jersey,KUK
Blue Cross Blue Shield of Illinois,KUL
Blue Cross Blue Shield of Arkansas,KUM
Regence Blue Cross Blue Shield of Oregon,KUN
Blue Cross Blue Shield of Michigan,KUO
Blue Cross Blue Shield of Rhode Island,KUP
Blue Cross Blue Shield of Minnesota,KUQ
Blue Cross Blue Shield of Illinois,KUR
Blue Cross Blue Shield of South Carolina,KUS
Blue Cross Blue Shield of South Carolina,KUT
Anthem BCBS of Ohio,KUU
Anthem BCBS of Nevada,KUV
Blue Cross Blue Shield of Illinois,KUW
Unassigned,KUX
Highmark BCBS of Pennsylvania,KUY
Unassigned,KUZ
Blue Cross Blue Shield of Illinois,KVA
Blue Cross Blue Shield of Alabama,KVB
Wellmark BCBS,KVC
Blue Cross Blue Shield of Alabama,KVD
Blue Cross Blue Shield of Illinois,KVE
Wellmark BCBS,KVF
Blue Cross Blue Shield of Minnesota,KVG
Capital Blue Cross,KVH
Blue Cross Blue Shield of Tennessee,KVI
Blue Cross Blue Shield of Illinois,KVJ
Blue Cross of California,KVK
Blue Cross Blue Shield of Kansas City,KVL
Wellmark BCBS,KVM
Blue Cross Blue Shield of Minnesota,KVN
Blue Cross Blue Shield of Minnesota,KVO
Blue Cross Blue Shield of Tennessee,KVP
Wellmark BCBS,KVQ
Empire Blue Cross Blue Shield,KVR
Premera Blue Cross,KVS
Highmark BCBS of Pennsylvania,KVT
Anthem BCBS of Georgia,KVU
CareFirst BCBS,KVV
Anthem BCBS of Wisconsin,KVW
Blue Cross Blue Shield of Massachusetts,KVX
Blue Cross of California,KVY
Anthem BCBS of Ohio,KVZ
Blue Cross Blue Shield of Michigan,KWA
Blue Cross Blue Shield of North Carolina,KWB
Blue Cross Blue Shield of Tennessee,KWC
Blue Cross of California,KWD
Blue Cross Blue Shield of Illinois,KWE
Blue Cross Blue Shield of Kansas City,KWF
Wellmark BCBS,KWG
Horizon Blue Cross Blue Shield of New Jersey,KWH
Blue Cross of California,KWI
Blue Cross Blue Shield of Rhode Island,KWJ
Wellmark BCBS,KWK
CareFirst BCBS,KWL
Anthem BCBS of Ohio,KWM
Blue Cross of California,KWN
Blue Cross Blue Shield of Michigan,KWO
Blue Cross Blue Shield of Massachusetts,KWP
Capital Blue Cross,KWQ
Blue Cross Blue Shield of Illinois,KWR
Blue Cross Blue Shield of Illinois,KWS
Blue Cross of California,KWT
Blue Cross of California,KWU
Regence Blue Shield of Washington,KWV
CareFirst BCBS,KWW
Regence Blue Shield of Washington,KWX
Blue Shield of Northeastern New York,KWY
Blue Cross Blue Shield of Nebraska,KWZ
BCBS of Western New York,KXA
Premera Blue Cross,KXB
Blue Cross Blue Shield of Illinois,KXC
BCBS of Western New York,KXD
Blue Cross Blue Shield of Illinois,KXE
Blue Shield of Northeastern New York,KXF
Blue Cross Blue Shield of Massachusetts,KXG
Blue Cross Blue Shield of Rhode Island,KXH
Blue Cross of California,KXI
Blue Cross of California,KXJ
Blue Cross Blue Shield of South Carolina,KXK
Anthem BCBS of Wisconsin,KXL
Premera Blue Cross,KXM
Blue Shield of California,KXN
Blue Cross Blue Shield of Michigan,KXO
Blue Cross Blue Shield of Minnesota,KXP
Anthem BCBS of Missouri,KXQ
Premera Blue Cross,KXR
Wellmark BCBS,KXS
Anthem BCBS of Ohio,KXT
Anthem BCBS of Virginia,KXU
Blue Cross Blue Shield of Minnesota,KXV
Blue Cross Blue Shield of Illinois,KXW
Wellmark BCBS,KXX
CareFirst BCBS,KXY
Blue Cross Blue Shield of Michigan,KXZ
Blue Cross Blue Shield of Michigan,KYA
Blue Cross Blue Shield of Illinois,KYB
Anthem BCBS of Ohio,KYC
Blue Cross Blue Shield of Michigan,KYD
Wellmark BCBS,KYE
Blue Cross Blue Shield of Illinois,KYF
Anthem BCBS of Ohio,KYG
Anthem BCBS of Ohio,KYH
Blue Cross Blue Shield of Alabama,KYI
Anthem BCBS of Ohio,KYJ
Blue Cross Blue Shield of Michigan,KYK
Anthem BCBS of Kentucky,KYL
Blue Cross Blue Shield of Michigan,KYM
Blue Cross Blue Shield of Michigan,KYN
Blue Cross Blue Shield of Michigan,KYO
Blue Cross Blue Shield of Michigan,KYP
Unassigned,KYQ
Blue Cross of California,KYR
Empire Blue Cross Blue Shield,KYS
Anthem BCBS of Kentucky,KYT
Anthem BCBS of Ohio,KYU
Blue Shield of California,KYV
Anthem BCBS of Ohio,KYW
Blue Cross Blue Shield of Alabama,KYX
Blue Cross Blue Shield of South Carolina,KYY
CareFirst BCBS,KYZ
Blue Cross Blue Shield of South Carolina,KZA
Anthem BCBS of Ohio,KZB
Blue Cross Blue Shield of Alabama,KZC
Blue Cross of California,KZD
Wellmark BCBS,KZE
BCBS of Western New York,KZF
Blue Cross Blue Shield of North Carolina,KZG
Blue Cross Blue Shield of Illinois,KZH
Anthem BCBS of Ohio,KZI
Blue Cross of California,KZJ
CareFirst BCBS,KZK
Anthem BCBS of Wisconsin,KZL
Blue Cross Blue Shield of Illinois,KZM
Blue Cross Blue Shield of Texas,KZN
Blue Cross Blue Shield of Michigan,KZO
Anthem BCBS of Virginia,KZP
BCBS of Western New York,KZQ
Horizon Blue Cross Blue Shield of New Jersey,KZR
Blue Cross Blue Shield of South Carolina,KZS
Blue Cross of California,KZT
Blue Cross of California,KZU
CareFirst BCBS,KZV
Blue Cross of California,KZW
Blue Cross Blue Shield of Illinois,KZX
Blue Cross Blue Shield of Michigan,KZY
Anthem BCBS of Georgia,KZZ
