BCBS_Name,Acronym
Blue Cross Blue Shield of Alabama,RIZ
Horizon Blue Cross Blue Shield of New Jersey,RJA
Blue Cross Blue Shield of Alabama,RJB
Anthem BCBS of Kentucky,RJC
Anthem BCBS of Georgia,RJD
Anthem BCBS of Ohio,RJE
Regence Blue Cross Blue Shield of Oregon,RJF
Independence Blue Cross,RJG
Wellmark BCBS,RJH
Blue Cross Blue Shield of South Carolina,RJI
Unassigned,RJJ
Blue Cross Blue Shield of Oklahoma,RJK
Highmark BCBS of Pennsylvania,RJL
Unassigned,RJM
Anthem BCBS of Ohio,RJN
Blue Cross Blue Shield of Arkansas,RJO
Anthem BCBS of Kentucky,RJP
Anthem BCBS of Wisconsin,RJQ
Highmark BCBS of Pennsylvania,RJR
Blue Cross Blue Shield of South Carolina,RJS
Blue Cross of California,RJT
Horizon Blue Cross Blue Shield of New Jersey,RJU
Blue Cross Blue Shield of Illinois,RJV
Anthem BCBS of Ohio,RJW
Horizon Blue Cross Blue Shield of New Jersey,RJX
Blue Cross Blue Shield of Massachusetts,RJY
Blue Cross Blue Shield of Michigan,RJZ
Blue Shield of California,RKA
Anthem BCBS of Virginia,RKB
Blue Cross Blue Shield of Kansas City,RKC
CareFirst BCBS,RKD
Wellmark BCBS,RKE
Highmark BCBS of Pennsylvania,RKF
Blue Cross Blue Shield of Minnesota,RKG
Blue Cross Blue Shield of Illinois,RKH
Blue Cross of California,RKI
Wellmark BCBS,RKJ
CareFirst BCBS,RKK
Wellmark BCBS,RKL
Highmark BCBS of Pennsylvania,RKM
Blue Cross Blue Shield of Kansas City,RKN
Wellmark BCBS,RKO
Wellmark BCBS,RKP
Blue Cross Blue Shield of Kansas City,RKQ
Wellmark BCBS,RKR
Anthem BCBS of Virginia,RKS
Blue Cross Blue Shield of Minnesota,RKT
Horizon Blue Cross Blue Shield of New Jersey,RKU
BCBS of Illinois,RKV
Blue Cross Blue Shield of Rhode Island,RKW
Horizon Blue Cross Blue Shield of New Jersey,RKX
Blue Cross of California,RKY
Blue Cross Blue Shield of Massachusetts,RKZ
Independence Blue Cross,RLA
Capital BlueCross,RLB
Anthem BCBS of Ohio,RLC
Blue Cross Blue Shield of Illinois,RLD
Blue Cross Blue Shield of Nebraska,RLE
Blue Cross Blue Shield of Arkansas,RLF
Blue Cross Blue Shield of Massachusetts,RLG
Wellmark BCBS,RLH
Independence Blue Cross,RLI
Anthem BCBS of Virginia,RLJ
Blue Cross Blue Shield of Illinois,RLK
Anthem BCBS of Nevada,RLL
Unassigned,RLM
Blue Cross Blue Shield of Illinois,RLN
Blue Cross Blue Shield of South Carolina,RLO
Blue Cross Blue Shield of Michigan,RLP
Capital BlueCross,RLQ
Blue Cross Blue Shield of Illinois,RLR
Blue Cross Blue Shield of Kansas City,RLS
Blue Cross Blue Shield of Rhode Island,RLT
BCBS of Western New York,RLU
Anthem BCBS of Wisconsin,RLV
Empire Blue Cross Blue Shield,RLW
Horizon Blue Cross Blue Shield of New Jersey,RLX
Blue Shield of California,RLY
Blue Cross Blue Shield of Illinois,RLZ
Wellmark BCBS,RMA
Horizon Blue Cross Blue Shield of New Jersey,RMB
Excellus BCBS,RMC
Anthem BCBS of Kentucky,RMD
Blue Cross Blue Shield of Massachusetts,RME
Blue Cross Blue Shield of Michigan,RMF
Blue Cross Blue Shield of Tennessee,RMG
Blue Cross Blue Shield of Michigan,RMH
Blue Cross of Idaho,RMI
Blue Shield of California,RMJ
Anthem BCBS of Missouri,RMK
Blue Cross Blue Shield of Illinois,RML
Blue Cross Blue Shield of South Carolina,RMM
Independence Blue Cross,RMN
BCBS of Western New York,RMO
Anthem BCBS of Georgia,RMP
Premera Blue Cross,RMQ
CareFirst BCBS,RMR
Premera Blue Cross,RMS
Regence Blue Shield of Washington,RMT
Unassigned,RMU
Blue Cross Blue Shield of Michigan,RMV
CareFirst BCBS,RMW
Blue Shield of California,RMX
Unassigned,RMY
CareFirst BCBS,RMZ
Capital BlueCross,RNA
Regence Blue Shield of Washington,RNB
Wellmark BCBS,RNC
Blue Cross Blue Shield of Illinois,RND
Blue Cross of California,RNE
Anthem BCBS of Colorado,RNF
Blue Cross of California,RNG
Anthem BCBS of Wisconsin,RNH
Blue Cross of California,RNI
Blue Cross of California,RNJ
Anthem BCBS of Wisconsin,RNK
Blue Cross Blue Shield of South Carolina,RNL
Blue Cross Blue Shield of South Carolina,RNM
Anthem BCBS of Virginia,RNN
Independence Blue Cross,RNO
Blue Cross Blue Shield of Illinois,RNP
Wellmark BCBS,RNQ
Anthem BCBS of Georgia,RNR
CareFirst BCBS,RNS
Blue Cross Blue Shield of Minnesota,RNT
CareFirst BCBS,RNU
Blue Shield of Northeastern New York,RNV
Blue Cross of California,RNW
Blue Cross Blue Shield of Massachusetts,RNX
Blue Cross Blue Shield of Nebraska,RNY
Blue Shield of California,RNZ
Blue Cross Blue Shield of Massachusetts,ROA
Regence Blue Cross Blue Shield of Oregon,ROB
Blue Cross Blue Shield of Arkansas,ROC
Capital BlueCross,ROD
Capital BlueCross,ROE
Blue Cross Blue Shield of Illinois,ROF
Anthem BCBS of Connecticut,ROG
Independence Blue Cross,ROH
Anthem BCBS of Missouri,ROI
Unassigned,ROJ
Blue Shield of Northeastern New York,ROK
Regence Blue Cross Blue Shield of Oregon,ROL
Premera Blue Cross,ROM
Blue Shield of California,RON
Independence Blue Cross,ROO
Blue Shield of California,ROP
Independence Blue Cross,ROQ
Anthem BCBS of Ohio,ROR
Blue Cross Blue Shield of Alabama,ROS
Unassigned,ROT
Blue Cross Blue Shield of Michigan,ROU
BCBS of Western New York,ROV
Unassigned,ROW
Blue Cross Blue Shield of North Carolina,ROX
BCBS of Florida,ROY
Anthem BCBS of Colorado,ROZ
Regence Blue Cross Blue Shield of Oregon,RPA
Regence Blue Cross Blue Shield of Oregon,RPB
Blue Cross Blue Shield of Michigan,RPC
Blue Shield of California,RPD
Unassigned,RPE
Unassigned,RPF
Blue Shield of California,RPG
Anthem BCBS of Ohio,RPH
Highmark BCBS of Pennsylvania,RPI
Highmark BCBS of Pennsylvania,RPJ
Blue Cross Blue Shield of South Carolina,RPK
Highmark BCBS of Pennsylvania,RPL
Premera Blue Cross,RPM
Blue Cross Blue Shield of South Carolina,RPN
Blue Shield of California,RPO
Anthem BCBS of Georgia,RPP
Empire Blue Cross Blue Shield,RPQ
Wellmark BCBS,RPR
Anthem BCBS of Virginia,RPS
BCBS of Western New York,RPT
Blue Shield of California,RPU
Empire Blue Cross Blue Shield,RPV
Anthem BCBS of Ohio,RPW
Blue Cross Blue Shield of Illinois,RPX
Blue Cross Blue Shield of Arkansas,RPY
Blue Cross Blue Shield of South Carolina,RPZ
Wellmark BCBS,RQA
BCBS of Western New York,RQB
Blue Cross Blue Shield of Illinois,RQC
Blue Cross Blue Shield of Michigan,RQD
Unassigned,RQE
Blue Cross Blue Shield of Michigan,RQF
Highmark BCBS of Pennsylvania,RQG
