BCBS_Name,Acronym
Blue Shield of California,LSK
Regence Blue Cross Blue Shield of Oregon,LSL
BCBS of South Carolina,LSM
Unassigned Prefix,LSN
BCBS of South Carolina,LSP
BCBS of South Carolina,LSQ
BCBS of Kansas,LSR
Unassigned Prefix,LSS
Blue Shield of California,LSU
Anthem,LSV
Horizon BCBS of New Jersey,LSW
BCBS of Texas,LSX
Unassigned Prefix,LSY
Anthem,LSZ
BCBS of Tennessee,LTA
Anthem Blue Cross of California,LTB
Anthem Blue Cross of California,LTC
Wellmark BCBS,LTD
Wellmark BCBS,LTE
Regence Blue Cross Blue Shield of Oregon,LTF
"Anthem Central Region (OH, IN, KY)",LTG
Unassigned Prefix,LTH
BCBS of Massachusetts,LTI
Highmark BCBS,LTJ
BCBS of Minnesota,LTK
Anthem,LTL
Unassigned Prefix,LTM
Anthem Blue Cross of California,LTN
BCBS of Nebraska,LTO
BCBS of Minnesota,LTP
BCBS of South Carolina,LTQ
Unassigned Prefix,LTR
Unassigned Prefix,LTS
Blue Shield of California,LTT
"Anthem Central Region (OH, IN, KY)",LTU
Highmark BCBS,LTV
Unassigned Prefix,LTW
"Anthem Central Region (OH, IN, KY)",LTX
BCBS of Illinois,LTY
BCBS of Minnesota,LTZ
Anthem,LUA
Capital Blue Cross,LUB
BCBS of Florida,LUC
Capital Blue Cross,LUD
Unassigned Prefix,LUE
Independence Blue Cross,LUF
BCBS of Minnesota,LUI
"Anthem Central Region (OH, IN, KY)",LUJ
"Anthem Central Region (OH, IN, KY)",LUK
BCBS of Minnesota,LUL
"Anthem Central Region (OH, IN, KY)",LUM
Unassigned Prefix,LUN
Unassigned Prefix,LUO
Capital Blue Cross,LUP
Unassigned Prefix,LUQ
Premera Blue Cross,LUR
Anthem Blue Cross of California,LUS
Capital Blue Cross,LUT
BCBS of Tennessee,LUU
Unassigned Prefix,LUV
Unassigned Prefix,LUW
"Anthem Central Region (OH, IN, KY)",LUX
BCBS of New Mexico,LUY
"Anthem Central Region (OH, IN, KY)",LUZ
"Anthem Central Region (OH, IN, KY)",LVA
Anthem,LVC
Empire BCBS of New York,LVD
BCBS of North Carolina,LVE
Anthem BCBS of Virginia,LVF
Unassigned Prefix,LVG
Highmark BCBS,LVH
BCBS of Western New York,LVI
Carefirst BCBS of Maryland,LVJ
Carefirst BCBS of Maryland,LVK
Unassigned Prefix,LVL
BCBS of Michigan,LVM
Premera Blue Cross,LVN
Empire BCBS of New York,LVP
Carefirst BCBS of Maryland,LVQ
Regence BCBS of Utah,LVR
BCBS of Arkansas Blue Advantage,LVS
"Anthem Central Region (OH, IN, KY)",LVU
Carefirst BCBS of Maryland,LVV
BCBS of Florida,LVW
Anthem Blue Cross of California,LVX
Unassigned Prefix,LVY
BCBS of South Carolina,LWA
Wellmark BCBS,LWB
BCBS of Western New York,LWC
BCBS of South Carolina,LWD
BCBS of Alabama,LWE
Unassigned Prefix,LWF
BCBS of Michigan,LWG
Unassigned Prefix,LWH
BCBS of Tennessee,LWI
BCBS of Illinois,LWJ
Empire BCBS of New York,LWK
Anthem,LWL
BCBS of Minnesota,LWM
Unassigned Prefix,LWN
Anthem,LWO
Empire BCBS of New York,LWP
BCBS of Michigan,LWQ
Horizon BCBS of New Jersey,LWR
Unassigned Prefix,LWU
Unassigned Prefix,LWV
Excellus BCBS of New York,LWW
BCBS of Tennessee,LWY
BCBS of Alabama,LWZ
BCBS of Minnesota,LXA
Highmark BCBS,LXB
BCBS of Western New York,LXC
Highmark BCBS,LXD
"Anthem Central Region (OH, IN, KY)",LXE
BCBS of Louisiana,LXF
BCBS of Minnesota,LXG
BCBS of Illinois,LXH
Anthem,LXI
Anthem,LXJ
BCBS of Western New York,LXK
"Anthem Central Region (OH, IN, KY)",LXL
BCBS of Arkansas,LXN
BCBS of Michigan,LXP
BCBS of Western New York,LXQ
BCBS of Illinois,LXR
BCBS of Louisiana,LXS
BCBS of Western New York,LXT
Wellmark BCBS,LXU
Unassigned Prefix,LXV
"Anthem Central Region (OH, IN, KY)",LXW
BCBS of Minnesota,LXX
Unassigned Prefix,LXY
Premera Blue Cross,LXZ
Carefirst BCBS of Maryland,LYA
Blue Cross of Northeast Pennsylvania,LYB
Anthem Blue Cross of California,LYC
Premera Blue Cross,LYD
Unassigned Prefix,LYE
BCBS of Michigan,LYF
Anthem BCBS of Virginia,LYG
Unassigned Prefix,LYH
"Anthem Central Region (OH, IN, KY)",LYJ
Highmark BCBS,LYK
BCBS of Texas,LYL
Unassigned Prefix,LYM
Premera Blue Cross,LYN
Unassigned Prefix,LYO
BCBS of Louisiana,LYP
Unassigned Prefix,LYQ
BCBS of Massachusetts,LYR
Unassigned Prefix,LYS
Anthem BCBS of Virginia,LYT
Unassigned Prefix,LYU
Anthem BCBS of Virginia,LYV
Independence Blue Cross,LYW
BCBS of Kansas City,LYX
Unassigned Prefix,LYY
Wellmark BCBS,LYZ
Unassigned Prefix,LZA
BCBS of Michigan,LZC
Wellmark BCBS,LZD
BCBS of Illinois,LZE
BCBS of Illinois,LZF
BCBS of Michigan,LZG
Wellmark BCBS,LZH
"Anthem Central Region (OH, IN, KY)",LZJ
"Anthem Central Region (OH, IN, KY)",LZK
BCBS of Massachusetts,LZL
Unassigned Prefix,LZM
"Anthem Central Region (OH, IN, KY)",LZN
BCBS of Michigan,LZP
BCBS of Western New York,LZQ
BCBS of Nebraska,LZR
Wellmark BCBS,LZS
BCBS of Michigan,LZT
Horizon BCBS of New Jersey,LZU
Unassigned Prefix,LZV
BCBS of Illinois,LZW
Unassigned Prefix,LZX
Premera Blue Cross,LZY
BCBS of Massachusetts,LZZ
